street,city,country,longitude,latitude
1001 13th St S,Virginia,US,-92.55,47.51
"7000 NE Airport Way, MB#3",Portland,US,-122.59,45.59
235-251 Bourke St,Melbourne,AU,144.97,-37.81
King Abdullah Rd,RIYADH,SA,47.27,24.13
120 Hawley Ln,Trumbull,US,-73.15,41.23
3450 Marron Rd,Oceanside,US,-117.3,33.18
9998 Commons St.,Lone Tree,US,-104.88,39.54
黄浦区,上海市,CN,121.48,31.2
"1119-1 sanghyun-dong, suji- gu",Gyeonggi-do,KR,127.49,37.18
1 Sunvalley Mall,Concord,US,-122.06,37.97
126 Broadway,Hillsdale,US,-74.04,41
3540 Mt. Diablo Blvd.,Lafayette,US,-122.12,37.89
641 N 8th St,Richmond,US,-77.43,37.54
1109 Yelm Ave E,Yelm,US,-122.59,46.93
2200 Norview Ave.,Norfolk,US,-76.22,36.9
Nelson St,Manchester,GB,-2.23,53.46
14 Rue Interieure,Paris,FR,2.33,48.88
虹口区,上海市,CN,121.48,31.26
12469 Rancho Bernardo Road,San Diego,US,-117.06,33.02
Av. Lopez Mateos Sur S/N,Guadalajara,MX,-103.39,20.67
191,서울,KR,126.96,37.56
5550 Lafayette,Indianapolis,US,-86.26,39.85
1190 Alameda Avenue,Burbank,US,-118.31,34.16
505-A Grand Avenue,Walnut,US,-117.84,34.03
13401 Blue Heron Beach Dr.,Orlando,US,-81.5,28.37
160 Wharfside Street,Birmingham,GB,-1.91,52.48
1920 S Nevada Ave,Colorado Springs,US,-104.82,38.81
"The Mall Ngamwongwan, No. 30/39-50",Bangkhen,TH,100.54,13.86
2511 Anthem Village Dr,Henderson,US,-115.1,35.98
Europa-Allee 6,FRANKFURT AM MAIN,DE,8.65,50.11
6750 Ayala Avenue,Makati City,PH,121.03,14.55
10401 N Michigan Rd,Carmel,US,-86.23,39.94
245 East 80th St,New York,US,-73.95,40.77
江东区,宁波市,CN,121.57,29.88
820 Woodside Road,Redwood City,US,-122.22,37.47
9329 Whittier Blvd,Pico Rivera,US,-118.08,34
1241 Elgin Mills Road East,Richmond Hill,CA,-79.4,43.9
龙岗区,深圳市,CN,114.25,22.72
"333-1 Wolgae3dong, Nowongu, Seoul",Seoul,KR,127.06,37.63
12330 Crabapple  Rd,Alpharetta,US,-84.36,34.08
8-2 Yamanouchi-ikejiricho Ukyo-ku,Kyoto,JP,135.72,35
966 Old Mill Run,The Villages,US,-81.97,28.91
上海市,上海市,CN,121.49,31.4
BISMARCKALLEE 5,FREIBURG,DE,7.84,48
"Ziyou Rd.,&Zhongshan Rd",Pingtung County,TW,120.49,22.67
1414 Golf Road,Rolling Meadows,US,-88,42.05
9990 Avenida Vista Hermosa,San Clemente,US,-117.6,33.46
1-3-1 Otemachi,Chiyoda-ku,JP,139.76,35.69
3605 El Camino Real,Santa Clara,US,-122,37.35
6471-90 Almaden Expressway,San Jose,US,-121.86,37.22
"155-9, Sachang-dong, Heungdeok-gu",Chungcheongbuk-do,KR,127.46,36.63
607 E. Main Street,Ventura,US,-119.29,34.28
Estrada do Caminho Municipal 1011,Almada,PT,-9.16,38.66
شارع غانم الحريص,مدينة الكويت,KW,48.08,29.3
3300 Bee Caves Rd,Austin,US,-97.8,30.28
"Shop No.101, 1st Floor, Liberte Place, 8",Hong Kong,CN,114.15,22.33
"8, Jalan Bukit Pantai",Kuala Lumpur,MY,101.67,3.12
1011 Baldwin Park Blvd.,Baldwin Park,US,-117.99,34.06
840 E Hobson Way,Blythe,US,-114.59,33.61
195 Placerville Road,Folsom,US,-121.11,38.65
3-2-1 Mikagenakamachi Higashinadaku,Kobe,JP,135.26,34.72
4609 S Timberline Rd,Fort Collins,US,-105.04,40.52
"Stockport Station, Station Road",Stockport,GB,-2.16,53.4
台江区,福州市,CN,119.3,26.06
GRUNERSTRASSE 20,BERLIN,DE,13.42,52.52
5000 Arizona Mills Circle,Tempe,US,-111.96,33.38
Jalan Melawai,Jakarta,ID,106.48,-6.14
4507 Flamingo Rd,Las Vegas,US,-115.2,36.12
普陀区,上海市,CN,121.43,31.24
265 Wharncliffe Rd North,London,CA,-81.26,42.99
Bath Road,Reading,GB,-1.06,51.44
465 INVESTORS PLACE,Virginia Beach,US,-76.13,36.83
2771 Monument Road,Jacksonville,US,-81.5,30.36
4600 International Gateway,Columbus,US,-82.89,40
江苏省南京市,南京市,CN,118.79,31.99
500 Centre Street,Calgary,CA,-114.06,51.05
5963 Corson Avenue South,Seattle,US,-122.32,47.55
16199 Boones Ferry Rd.,Lake Oswego,US,-122.72,45.41
6850 NE Bothell Way,Kenmore,US,-122.25,47.76
12921 SW 1st Road,Newberry,US,-82.48,29.66
859 N. Highland Avenue,Los Angeles,US,-118.34,34.09
512 East Alto Rd.,Kokomo,US,-86.13,40.44
7700 Maple Street,New Orleans,US,-90.13,29.94
鄞州区,宁波市,CN,121.57,29.83
吴兴区,湖州市,CN,120.1,30.87
14444 W. CENTER RD.,OMAHA,US,-96.14,41.23
"1455 K St., NW",Washington,US,-77.03,38.9
"4F, No.1, Sec. 1, Chengde Rd.",Taipei City,TW,121.52,25.05
"Shop B, Ground Floor",Hong Kong,CN,114.16,22.29
10800 West Pico Blvd.,Los Angeles,US,-118.43,34.04
350 E 40th Ave,Eugene,US,-123.09,44.01
400 Ridgeville Blvd.,Mount Airy,US,-77.16,39.36
111 east ocean Boulevard,Long Beach,US,-118.19,33.77
"JL Zainul Arifin, Medan Baru",Medan,ID,98.67,3.58
1240 Railway Avenue,Canmore,CA,-115.36,51.09
130 Fulton Street,New York,US,-74.01,40.71
Jalan Letnan Kolonel Iskandar,Palembang,ID,104.76,-2.98
"573-7, Bujeon-Dong, Busanjin-Gu",Busan,KR,129.06,35.16
Av. Tabancura 1185,Santiago,CL,-70.54,-33.38
66 Gerrard Street East,Toronto,CA,-79.38,43.66
"469-1, Naedang-dong, Seo-gu",Daegu,KR,128.56,35.86
"No. 72, Sec. 3, Kang-Ning Rd",Taipei City,TW,121.61,25.07
Aéroport de Luxembourg lux-airport,Luxembourg-Findel,LU,6.21,49.63
"100, Persiaran Bayan Indah",Bayan Lepas,MY,100.31,5.33
2-17-5 Yamadahigashi,Suita,JP,135.53,34.8
武昌区,武汉市,CN,114.3,30.53
1-26-2 Nishishinjuku,Shinjuku-ku,JP,139.7,35.69
6 Raffles Boulevard,Singapore,SG,103.86,1.29
"Office Lobby, G/F Exchange Square",Hong Kong,CN,114.16,22.28
1-3-16 Taiko Nakamura-ku,Nagoya,JP,136.88,35.17
1-50 Miyamachi,Fuchu,JP,139.48,35.67
